Authors,Title,Year,Source,local_filename,moved
Ş Kandil,1960 sonrası sanatta kadın sanatçılar ve portre çalışmaları,2023.0,,Ş_Kandil_1960_sonrası_sanatta_kadın_sanatçılar_ve_portre_çalışmaları.pdf,True
S Rozmanitová,Remix na YouTube: Od uměleckých strategií k uživatelským taktikám,2012.0,,S_Rozmanitová_Remix_na_YouTube_Od_uměleckých_strategií_k_uživatelským_taktikám.pdf,True
S Wyer,"Folk Networks, Cyberfeminism, and Information Activism in the Art+ Feminism Wikipedia Edit-a-thon Series",2017.0,,"S_Wyer_Folk_Networks,_Cyberfeminism,_and_Information_Activism_in_the_Art+_Feminism_Wikipedia_Edit-a-thon_Series.pdf",True
SG Bonneau,Ex Post Modernism: How the First Amendment Framed Nonrepresentational Art,2015.0,Colum. JL &Arts,SG_Bonneau_Ex_Post_Modernism_How_the_First_Amendment_Framed_Nonrepresentational_Art.pdf,True
T Allmer,Critical theory and social media: between emancipation and commodification,2015.0,,T_Allmer_Critical_theory_and_social_media_between_emancipation_and_commodification.pdf,True
TDYA COPYLEFT,Bianca Racioppe,,academia.edu,TDYA_COPYLEFT_Bianca_Racioppe.pdf,True
TG Travisani,Imagem digital em movimento,2008.0,,TG_Travisani_Imagem_digital_em_movimento.pdf,True
TL Azevedo,Texto e Imagem no fluxo de rede,2022.0,,TL_Azevedo_Texto_e_Imagem_no_fluxo_de_rede.pdf,True
"V Bradbury, M Ghidini, R Hunter, S O'Hara, D Smith",CRUMB doctoral research: reflections on creating and exhibiting digital art.,2013.0,,V_Bradbury__M_Ghidini__R_Hunter__S_OHara__D_Smith_CRUMB_doctoral_research_reflections_on_creating_and_exhibiting_digital_art..pdf,False
"V Šimice, R Silverio, J Chuchma",Nový obraz,2007.0,,V_Šimice__R_Silverio__J_Chuchma_Nový_obraz.pdf,True
"W Gluza, I Turaj, F Meier",Wikipedia edit-a-thons and editor experience: Lessons from a participatory observation,2021.0,… of the 17th International Symposium on Open …,W_Gluza__I_Turaj__F_Meier_Wikipedia_edit-a-thons_and_editor_experience_Lessons_from_a_participatory_observation.pdf,True
"YÁ Bocos Mirabella, J Luís, A Ventayol Soler",Recreándonos en la base de datos: Tesauro alimentario transfinito,2020.0,,YÁ_Bocos_Mirabella__J_Luís__A_Ventayol_Soler_Recreándonos_en_la_base_de_datos_Tesauro_alimentario_transfinito.pdf,True
"林欣怡, 賴雯淑",星叢‧ 複線‧ 集合: 網路前衛藝術美學語言,2012.0,,林欣怡__賴雯淑_星叢‧_複線‧_集合_網路前衛藝術美學語言.pdf,True
