Authors,Title,Year,Source
Sarah Mirk,An Epic Feminist Edit-a-Thon Takes Aim at Wikipedia’s Gender Gap,2014,Bitch Magazine
Federico Ruberti,"Apprpriation art, tra plagio e provocazione, un punto di vista sul rapporto tra processo artistico e diritto d’autore",2013,Ideas in the Making
Kyle Petreycik,"Tiananmen Square Censored Photos as Paintings, Made in China",2013,Animal
Kyle Petreycik,In Search of an Alternative Art Education #AltEdu,2013,Hyperallergic
Juliet Helmske,"Eco-Visualization, Aesthetics for Sustainability",2013,Urban Omnibus
Danica Duca,"The Irreverent Plagiarists. After Sherrie Levine, Michael Mandiberg and Herman Zchiegner",2013,Interartive
An Xiao,New Book Explores Social Media From Many Angles,2012,Hyperallergic
Marita Sturken,AfterSherrieLevine.com,2010,"ASPECT, The Chronicle of New Media Art"
Meike Laaf,Von null auf Buch in 120 Stunden,2010,Die Tageszeitung
Macy Halford,"1,000 Words: OMG LOL",2010,The New Yorker
Sean Patrick Farrell,Concepts Run Wild at Dutch-American Bike Slam,2009,The New York Times
Yaelle Amir,New Life,2009,Artslant
Thomas Gideon,Advice from a Published Author on Negotiating a CC License,2009,Open Media Review
Fred Benenson,Working with Publishers and Creative Commons,2009,Creative Commons
Carol Ness,"He who steals my artwork steals... what, exactly?",2008,UCBerkeleyNews
Ryan Griffis,Conducting Mobility,2008,Artlink
Abigail Doan,ECO-VIS CHALLENGE: Imagining Better Ways of Living,2008,inhabitat
Regine Debatty,Eyebeam’s Ecovisualiz Design Challenge,2007,We Make Money Not Art
Valentina Tanni,PLUGIN ART,2007,DigiMag
Mike Latarlow,Nowhere to hide when you use Real Costs,2007,Talking Wild
Lisa De Guia,The Map: Real Costs,2007,Travelistic.com
R. Bosco and S. Caldana,Llega el ‘plugin art’ para Firefo,2007,El Pais
Jen Chung,Video of the Day: The Real Costs,2007,Gothamist.com
Yasser Rashid,Oil Standard,2006,Furtherfield
Cory Doctorow,Firefox plugin converts dollars to barrels of oil,2006,BoingBoing.net
Mike Yamamoto,A browser that values everything in oil,2006,Cnet’s News.com
Jamais Cascio,How Much Is That In Oil?,2006,World Changing
Josephine Bosma,The Body in Turbulence,2006,3 x 3: New Media Fix(es) on Turbulence
Kevin Hamilton,Absence in Common: An Operator for the Inoperative Community,2006,intelligent agent
Caitlin Jones,My Artworld is Bigger than Your Artworld,2005,The Believer
Laetitia Sellam,Avec Mobiles Apparents,2005,Beaux Arts Magazine
Rachel Metz,Far Apart but Intensely Connected,2005,Wired Online
National Public Radio's Weekend America,Digitally Divided,2005,National Public Radio
Robert W. Sweeny,"Three Funerals and a Wedding: Art Education, Digital Images, and an Aesthetics of Cloning",2005,Visual Arts Research
Rachel Greene,Internet Art,2003,Thames and Hudson
Marisa J. Futernick,Life Studies,2003,Contemporary Magazine
Roberto Bosco and Stefano Caldana,Suplantación en Red,2002,Cyberpais/El Pais
Claire Barliant,Net Worth,2001,Artbyte
Reena Jana,Is it Art or Memorex?,2001,Wired Online
Claire Barliant,First Person,2001,Artbyte.com
Tilman Baumgartel,The Sell-Out Artists,2001,Eyestorm.com
Simon Doonan,Try Purging the Boom Years and Start the New Age Clean,2001,New York Observer
Tilman Baumgartel,Der Ausverkauf des Selbsts,2001,Berliner Zeitung
François Landon,Enchères en chaussette dépareillée,2001,Transfert.net
Matthew Mirapaul,A Market for Flotsam and Jetsam as Performance Art,2001,New York Times
Gavin Browning (Editor),The Studio-X New York Guide to Liberating New Forms of Conversation,2010,New York: Columbia University GSAPP Press
A General,Nuevos conceptos fotográficos en la era digital,nan,aacadigital.com
A Monteiro,CITAÇÃO PLÁGIO MENTIRA ROUBO estratégias da produção contemporânea: apropriações e rearticulações,nan,academia.edu
A Vink,Postmodern artists: Creators of a cultural movement,2018,nan
B Güner,Çağdaş sanatta müellif sorunsalı,2013,nan
B Tapia Peralta,De lo virtual y lo real: apuntes para una estética de lo inmanente en el arte contemporáneo,2011,nan
"C Bobb, A Română",Câteva reflecţii asupra începuturilor hermeneuticii ricoeuriene,nan,Revista Irregular F
"CP Salgado, R Barbanti, K Paparrigopoulos…",Art i decreixement,2016,nan
D Vagianos,"Digital Media and Society [Undergraduate textbook]. Kallipos, Open Academic Editions",2024,nan
G Brisson-Darveau,Un état hors du temps,2011,nan
G Reisinger,Synchrone Archive: Die digitale Quelle im Kontext musealer Sammlungen,2012,Museum multimedial: audiovisionäre Traditionen in …
K Poortier,Locating Critical Space,nan,academia.edu
L Orán Llarena,Apropiación y simulacro en la representación visual a través de redes sociales. El caso de Instagram,2021,nan
L Pagola,Tensiones en la noción de autoría en los procesos de producción artística con tecnología,2011,"Poéticas tecnológicas, transdisciplina y sociedad."
M Lughi,"La riproduzione dell'opera d'arte dalla fotografia a internet. Diritti, diffusione, valorizzazione",2016,nan
M Mundviller,Nanodramas: Identity Pills: l'identité et la consommation lue à travers l'oeuvre d'art Web,2011,nan
M Ros Tägtström,Musealisering av Internetkonst,2006,nan
"M Tribe, R Jana",New Media Art-Introduction,2007,"Brown University Wiki: Art, Technology and …"
M Veyrat,"De l'information comme matériau artistique, vol. 2: Never mind",2016,nan
MTT Costa,Control+ c: autoria na rede,2007,nan
PJ Estévez Kubli,El ensamblaje escultórico: análisis y tipologías objetuales en el Arte Contemporáneo Mexicano,2012,nan
R Pardo,El otro yo. De la autoficción al turismo identitario en el arte contemporáneo,2012,"Sans Soleil, 2012, num. 4, p. 74-93"
RP Sainz,De la autoficción al turismo identitario en el arte CONTEMPoráneo,nan,academia.edu
TDYA COPYLEFT,Bianca Racioppe,nan,academia.edu
TL Azevedo,Texto e Imagem no fluxo de rede,2022,nan
AJ Rüst,FEMINIZM4ALL: a framework for feminist technology intervention,2008,nan
"V Šimice, R Silverio, J Chuchma",Nový obraz,2007,nan
A Brun del Re,Fabulations lectorales: inclusion et exclusion du lecteur dans la littérature franco-canadienne,2019,nan
AJ Blatt,Telling pictures: The traffic of images in contemporary French fiction,2005,nan
AJ Bottomley,Internet radio: a history of a medium in transition,2016,nan
"ANO LETIVO, PEP DE DESENVOLVIMENTO",SO185–Sociologia da Tecnologia I: vida eletrônica,nan,pedroferreira.net.br
C Petronis,Blurring Contagion in the Information Age: How COVID-19 Troubles the Boundaries of the Biomedical and Socioinformatic,2021,Duke UP
CM Miller,Landscapes of Mothering: Creating Maternal Identity Through Story,2018,nan
DV Jesus,Apropriação e inserção na contra-arte da geração AI-5,2010,nan
F Guzda-Rivière,"L'au (c) torité de l'artiste et ses paradoxes: tentative de relecture historique, critique et poïétique du statut de l'artiste",2018,nan
F Pestana,A Wikipédia como recurso educacional aberto: um contributo para o Programa Wikipédia na Universidade,2018,nan
H Rogers,“Welcome to your world”: YouTube and the Reconfiguration of Music's Gatekeepers,2023,nan
"I Arns, F Saavedra-Lara, M Watts, BP Kremer…",The Oil Show,2011,nan
K Mahy,La protection juridique des photographies,2016,nan
L Carreira,Experimental curating in times of the perpetual beta,2017,nan
L Schmidt,Con las cabezas en la nube. Arte ecológico en la era post-digital,2019,nan
"LM Veiga¹, TP Monteiro",Estratégias contemporâneas: pensamento em rede e apropriações,nan,academia.edu
LMP dos Santos,Espaços de criatividade da arte contemporânea em contexto escolar,2012,nan
M MUNDVILLER,NANODRAMAS: IDENTITY PILLS,2011,nan
M Porttikivi,Organisaatioiden diskursiivinen legitimaatio kiistelevässä verkkojulkisuudessa,2016,nan
M Sánchez Berenguer,COMPOSICIÓN Y CONSTRUCCIÓN PICTÓRICA. OBRA PERSONA,2016,nan
M Semlak,Wissenschaftliche Terminologien zu netzbasierten Kunstformen/vorgelegt von Martina Semlak,nan,unipub.uni-graz.at
MA Ahumada Medrano,Ejercicios de resistencia a los discursos institucionales del arte,2014,nan
MA Bulhões,Transterritórios: campo da arte e internet,2010,Visualidades
"MDM Garrido Román, LM Sánchez Pérez",Telos y repetición: Espíritu y Banausia como búsqueda en arte,2016,nan
N Arisawa,Arte e guerrilha na internet,2011,nan
P Smejkal,Autor je mŕtvy. Nech žije umenie!,nan,itf.cz
"RC MARINHO, UMESAM FOTOGRÁFICA, E USO…",MESTRADO EM ARTES PROGRAMA DE PÓS-GRADUAÇÃO DE ARTES,nan,sappg.ufes.br
S Allanis,Photojournalism and Citizen Journalism,nan,api.taylorfrancis.com
S Cetto,Post-Digital Printing: Exploring the Relation between Print and Digital Publishing,2021,nan
Ş Kandil,1960 sonrası sanatta kadın sanatçılar ve portre çalışmaları,2023,nan
S Rozmanitová,Remix na YouTube: Od uměleckých strategií k uživatelským taktikám,2012,nan
TG Travisani,Imagem digital em movimento,2008,nan
"V Bradbury, M Ghidini, R Hunter, S O'Hara, D Smith",CRUMB doctoral research: reflections on creating and exhibiting digital art.,2013,nan
"林欣怡, 賴雯淑",星叢‧ 複線‧ 集合: 網路前衛藝術美學語言,2012,nan
Anna Russell,‘Edit-a-Thon’ Volunteers Revamp Female Artists’ Wikipedia Profiles,2015,The Wall Street Journal
Josephine Bosma,Nettitudes: Let’s Talk Net Art,2011,Institute of Network Cultures/NAi Publishers
Sophie Haigney,‘The Zoom Paintings’ are dispatches from a strange year,2020,The Economist
Aurelio Cianciotta,"Quantified Self Portrait (One Year Performance), intimate flows.",2018,Neural
Christopher Hooten,These print editions of Wikipedia show the futility of big data and are available for purchase,2015,Independent
Shannon Tan,Stuff of his life,2001,Miami Herald
Kevin McGarry,Pod Pals,2005,Rhizome
LA Heymann,Everything is transformative: Fair use and reader response,2008,Columbia Journal of Law &the Arts
