Authors,Title,Year,Date,Source,Publisher,ArticleURL,Type,DOI,CitationURL,Volume,Issue,StartPage,EndPage,Additional Pages,USE_THIS,ReviewType,Project,special
Matthias Kremp,Netzwelt-Ticker,2006,24-Mar,Spiegel Online, ,"http://www.spiegel.de/netzwelt/technologie/0,1518,407691,00.html",,,, ,,,,,TRUE,review,Oil Standard,
Cory Doctorow,Firefox plugin converts dollars to barrels of oil,2006,23-Mar,BoingBoing.net, ,http://www.boingboing.net/2006/03/23/firefox_plugin_conve.html,,,, ,,,,,TRUE,review,Oil Standard,
Mike Yamamoto,A browser that values everything in oil,2006,23-Mar,Cnet’s News.com, ,http://news.com.com/2061-11200_3-6052991.html,,,, ,,,,,TRUE,review,Oil Standard,
Jamais Cascio,How Much Is That In Oil?,2006,15-Mar,World Changing, ,http://www.worldchanging.com/archives/004205.html,,,, ,,,,,TRUE,review,Oil Standard,
Josephine Bosma,The Body in Turbulence,2006,,3 x 3: New Media Fix(es) on Turbulence, ,http://turbulence.org/texts/nmf,, ,,,,,,,TRUE,review,"The Essential Guide to Performing Michael Mandiberg, IN Network",
Kevin Hamilton,Absence in Common: An Operator for the Inoperative Community,2006,,intelligent agent, ,http://communitydomain.hamilton.absenceincommon.01,,,, ,,,,,TRUE,article,IN Network,
Caitlin Jones,My Artworld is Bigger than Your Artworld,2005,January 2005/February 2006,The Believer,, ,,,, ,,7,,,TRUE,discussion,AfterSherieLevine.com,
Laetitia Sellam,Avec Mobiles Apparents,2005,August,Beaux Arts Magazine,Paris,, ,,,,,30,31,,TRUE,review,IN Network,
Sherri Irvin,Appropriation and Authorship in Contemporary Art,2005,April,British Journal of Aesthetics,, , ,,,45,2,,,,TRUE,discussion,AfterSherrieLevine.com,
Rachel Metz,Far Apart but Intensely Connected,2005,21-Apr,Wired Online, ,"http://www.wired.com/news/culture/0,1284,67230,00.html",,,, ,,,,,TRUE,review,IN Network,
National Public Radio's Weekend America,Digitally Divided,2005,19-Mar,National Public Radio,,radio interview,,,,,,,,,TRUE,interview,IN Network,
Robert W. Sweeny,"Three Funerals and a Wedding: Art Education, Digital Images, and an Aesthetics of Cloning",2005,Fall,Visual Arts Research,, , ,,,,,31,61,,TRUE,discussion,AfterSherrieLevine.com,
Rachel Greene,Internet Art,2003,,Thames and Hudson,London; New York,Book,,,,,,184,"185, 191",,TRUE,discussion,"AfterSherrieLevine.com, Shop Mandiberg",
Marisa J. Futernick,Life Studies,2003,,Contemporary Magazine,London,, ,,,,,37,,,TRUE,review,Shop Mandiberg,
Roberto Bosco and Stefano Caldana,Suplantación en Red,2002,June,Cyberpais/El Pais,Spain,, ,,,,,60,62,,TRUE,review,"Shop Mandiberg, The Essential Guide to Performing Michael Mandiberg, The Exchange Program",
Bertrand Gauguet,"Mondialisation, Nouvelles Économies et Art sur Internet",2002,April,Parachute,, ,,,,,,98,105,,TRUE,review,Shop Mandiberg,
Robin Whitlaw,Command CV,2002,Winter,Afterimage,, , ,,,,,6,7,,TRUE,review,AfterSherieLevine.com,
Shannon Tan,Stuff of his life,2001,27-Aug,Miami Herald,, ,,,,,,C1: 2,,,TRUE,review,Shop Mandiberg,
Claire Barliant,Net Worth,2001,July-August,Artbyte,, ,,,,,,44,49,,TRUE,review,Shop Mandiberg,
Reena Jana,Is it Art or Memorex?,2001,21-May,Wired Online, ,"http://www.wired.com/news/culture/0,1284,43902,00.html",,,, ,,,,,TRUE,review,AfterSherieLevine.com,
Claire Barliant,First Person,2001,2-May,Artbyte.com,, , ,,,, ,,,,TRUE,review,Shop Mandiberg,
Tilman Baumgartel,The Sell-Out Artists,2001,30-Apr,Eyestorm.com,, , ,,,, ,,,,TRUE,review,Shop Mandiberg,
Simon Doonan,Try Purging the Boom Years and Start the New Age Clean,2001,26-Mar,New York Observer,, ,,,,,,29,,,TRUE,review,Shop Mandiberg,
Samantha Amjaali,For Sale: the posessions of a lifetime,2001,25-Mar,Melbourne Herald Sun,Melbourne Australia,, ,,,,,4,,,TRUE,review,Shop Mandiberg,
Greg Potter,Shopaholics alert!,2001,12-Mar,Vancouver Courier,, , ,,,, ,,,,TRUE,review,Shop Mandiberg,
Achy Obejas,Identity for Sale,2001,6-Feb,Chicago Tribune,,,,,,,,1,3,Section 5,TRUE,review,Shop Mandiberg,
Tilman Baumgartel,Der Ausverkauf des Selbsts,2001,5-Feb,Berliner Zeitung,, ,,,,,,,16,,TRUE,review,Shop Mandiberg,
François Landon,Enchères en chaussette dépareillée,2001,5-Feb,Transfert.net, ,http://www.transfert.net/a3947,,,, ,,,,,TRUE,review,Shop Mandiberg,
Matthew Mirapaul,A Market for Flotsam and Jetsam as Performance Art,2001,5-Feb,New York Times,, ,,,,,,E2,,,TRUE,review,Shop Mandiberg,
Lessley Anderson,Now On Sale Online: Me,2001,5-Feb,The Industry Standard,, ,,,,,,17,,,TRUE,review,Shop Mandiberg,
Ewa Wojtowicz,Time and Real-time in Online Art,2007,January,Hz,,http://www.fylkingen.se/hz/n9/wojtowicz.html,,,,,9,,,,TRUE,discussion,"Michael Mandiberg, Freelance Conceptual Artist",
Gavin Browning (Editor),The Studio-X New York Guide to Liberating New Forms of Conversation,2010,,New York: Columbia University GSAPP Press,,,,,,,,,,,TRUE,,,
Kevin McGarry,Pod Pals,2005,2-Mar,Rhizome,,http://rhizome.org/editorial/2005/mar/2/pod-pals,,,,,,,,,TRUE,review,IN Network,
