Authors,Title,Year,Source,Term
C Stine,Crowdsourced pedagogy: Editing Wikipedia and the Framework for Information Literacy for Higher Education,2022,College &Research Libraries News,Art+Feminism
C Strzelecka,Cyfrowe wiedźmy Wikipedii,2021,Czas Kultury,Art+Feminism
C Terry,Annual Report of the RISD Fleet Library 2014-2015,2015,Annual Report of the RISD Fleet Library 2014-2015,Art+Feminism
C Terry,Annual Report of the RISD Fleet Library 2015-2016,2016,Annual Report of the RISD Fleet Library 2015-2016,Art+Feminism
C Wolifson,"Patriotism, patriarchy and politics",2015,Art Monthly Australia,Art+Feminism
D Alemany,Making women's history matter: Female presence in and through Wikipedia,2017,"Making women’s history matter: Female presence in and through
Wikipedia ",Art+Feminism
D Gaertner,# HonouringIndigenousWriters: Visiting with and through Indigenous Literatures in the “Digital Turn”,2023,Transmotion,Art+Feminism
"D Howard, L Irani",Ways of knowing when research subjects care,2019,Proceedings of the 2019 CHI Conference on Human …,Art+Feminism
"D Metilli, C Paolini",Non-binary Gender Representation in Wikidata,2023,Non-binary Gender Representation in Wikidata,Art+Feminism
"D Ramírez-Ordóñez, N Ferran-Ferrer, J Meneses","Wikipedia and gender: The deleted, the marked, and the unpolluted biographies",2022,"Wikipedia and gender: The deleted, the marked, and the
unpolluted biographies",Art+Feminism
D Robb,Exploring Imbalances on Wikipedia Through Archival Creation Theories,2024,The iJournal: Student Journal of the Faculty of …,Art+Feminism
D Robichaud,Wikipedia Edit-a-thons: Thinking Beyond the Warm Fuzzie,2017,Wikipedia Edit-a-thons: Thinking Beyond the Warm Fuzzies,Art+Feminism
"D Robichaud, K McCracken",Doing the work: Editing Wikipedia as an act of reconciliation,2018,"Doing the work: Editing Wikipedia as an
act of reconciliation",Art+Feminism
"DE Park, LM Bridges",Meet students where they are: Centering Wikipedia in the classroom,2022,Communications in information literacy,Art+Feminism
DHD De Fazio,Two on the Transsibérien: Examining Sonia Delaunay-Terk's La Prose du Transsibérien et de la Petite Jehanne De France and Kitty Maryatt's Faithful Re …,2023,"EXAMINING SONIA DELAUNAY-TERK’S
LA PROSE DU TRANSSIBÉRIEN ET DE LA PETITE JEHANNE DE FRANCE
AND KITTY MARYATT’S FAITHFUL RE-CREATION",Art+Feminism
"DW Mcdonald, M Zachry",On the Alignment Between Self-Declared Gender Identity and Topical Content from Wikipedia,2021,ACM Transactions on Social Computing,Art+Feminism
"E Arroyo-Ramirez, RL Chou, J Freedman, S Fujita…",The reach of a long-arm stapler: Calling in microaggressions in the LIS field through zine work,2018,Library Trends,Art+Feminism
"E Baker, L McNamara, B Mackay, K Vincent","How to contribute climate change information to Wikipedia: a guide for researchers, practitioners and communicators",2020,"HOW TO CONTRIBUTE CLIMATE CHANGE
INFORMATION TO WIKIPEDIA ",Art+Feminism
"E Brown, JE Pierce, L Chapin, A Nguyen, J Kramer…",161 SCHOLARLY COMMUNICATION Open access,2022,Association o f College & Research Libraries,Art+Feminism
"E Covington, D Arbino, G Bastone, E Gerberich…",DAC Blog 2021-03,2021,"University of TexasLibraries Diversity Action
Committee",Art+Feminism
E Joud,L'expérience de contribution non monétaire,2021,L’expérience de contribution non monétaire,Art+Feminism
E Kapsalis,Wikidata: Recruiting the crowd to power access to digital archives,2019,Journal of Radio &Audio Media,Art+Feminism
